id,question,math-topic,answer,difficulty,choices
1,What is 9/10 - 2/5?,Fraction,1/2,easy,"[""1/2"", ""7/10"", ""3/5"", ""4/10""]"
2,What is 5/6 + 1/3?,Fraction,1,easy,"[""1"", ""5/9"", ""7/6"", ""8/9""]"
3,What is the simplest form of 10/20?,Fraction,1/2,easy,"[""1/2"", ""2/5"", ""5/10"", ""2/10""]"
4,What is 6/9 in simplest form?,Fraction,2/3,easy,"[""2/3"", ""1/3"", ""3/6"", ""4/5""]"
5,What is 7/8 - 1/2?,Fraction,3/8,easy,"[""1/8"", ""2/8"", ""3/8"", ""5/8""]"
6,What is 4/7 × 7/8?,Fraction,1/2,average,"[""1/2"", ""28/56"", ""4/8"", ""3/7""]"
7,What is 2/3 ÷ 4/5?,Fraction,5/6,average,"[""5/6"", ""8/15"", ""6/5"", ""4/15""]"
8,What is 3/5 × 2/3?,Fraction,2/5,average,"[""1/5"", ""2/5"", ""3/5"", ""6/15""]"
9,What is 1/2 + 1/4?,Fraction,3/4,difficult,"[""1/2"", ""3/4"", ""2/4"", ""1""]"
10,Which is greater: 3/4 or 5/6?,Fraction,5/6,difficult,"[""3/4"", ""5/6"", ""equal"", ""cannot be determined""]"
11,What is 12 + 15?,Arithmetic,27,easy,"[""27"", ""26"", ""28"", ""25""]"
12,What is 120 ÷ (4 × 5)?,Arithmetic,6,easy,"[""6"", ""8"", ""10"", ""5""]"
13,What is 5 + 3 × 2?,Arithmetic,11,easy,"[""16"", ""11"", ""13"", ""10""]"
14,What is 81 ÷ 9?,Arithmetic,9,easy,"[""8"", ""9"", ""7"", ""6""]"
15,What is 8 × 5 + 10?,Arithmetic,50,easy,"[""40"", ""50"", ""60"", ""45""]"
16,What is (10 + 2) × 3?,Arithmetic,36,average,"[""30"", ""36"", ""32"", ""28""]"
17,What is 3² + 4²?,Arithmetic,25,average,"[""25"", ""16"", ""9"", ""12""]"
18,What is 6 × 7?,Arithmetic,42,average,"[""42"", ""36"", ""40"", ""48""]"
19,What is 100 - 45?,Arithmetic,55,difficult,"[""55"", ""65"", ""50"", ""45""]"
20,What is the square of 6?,Arithmetic,36,difficult,"[""36"", ""12"", ""30"", ""42""]"
21,What is the LCM of 4 and 6?,Number Theory,12,easy,"[""12"", ""6"", ""24"", ""8""]"
22,What is the next prime number after 13?,Number Theory,17,easy,"[""15"", ""16"", ""17"", ""19""]"
23,How many factors does 12 have?,Number Theory,6,easy,"[""6"", ""4"", ""5"", ""3""]"
24,What is the GCD of 18 and 24?,Number Theory,6,easy,"[""6"", ""12"", ""3"", ""8""]"
25,What is the sum of first 5 prime numbers?,Number Theory,28,easy,"[""28"", ""26"", ""30"", ""25""]"
26,Is 29 a prime number?,Number Theory,Yes,average,"[""Yes"", ""No"", ""Cannot be determined"", ""Only divisible by 5""]"
27,"Which of the following is not a prime number: 17, 19, 21, 23?",Number Theory,21,average,"[""21"", ""19"", ""17"", ""23""]"
28,What is the smallest prime number?,Number Theory,2,average,"[""2"", ""1"", ""3"", ""5""]"
29,What is 7 mod 3?,Number Theory,1,difficult,"[""1"", ""2"", ""0"", ""3""]"
30,Which number is a factor of both 20 and 30?,Number Theory,10,difficult,"[""5"", ""10"", ""20"", ""15""]"
31,What is the area of a rectangle with l=5 and w=3?,Geometry,15,easy,"[""15"", ""8"", ""10"", ""18""]"
32,What is the area of a circle with r=2? (π=3.14),Geometry,12.56,easy,"[""12.56"", ""6.28"", ""3.14"", ""4""]"
33,How many sides does a hexagon have?,Geometry,6,easy,"[""5"", ""6"", ""7"", ""8""]"
34,How many degrees in a right angle?,Geometry,90,easy,"[""90"", ""45"", ""180"", ""60""]"
35,What is the name of a 3D object with 6 square faces?,Geometry,Cube,easy,"[""Cube"", ""Cuboid"", ""Square"", ""Hexahedron""]"
36,What is the name of a triangle with one 90-degree angle?,Geometry,Right Triangle,average,"[""Right Triangle"", ""Equilateral"", ""Obtuse"", ""Acute""]"
37,What is the perimeter of a square with side 4?,Geometry,16,average,"[""16"", ""8"", ""12"", ""20""]"
38,What is the sum of angles in a triangle?,Geometry,180,average,"[""180"", ""90"", ""360"", ""270""]"
39,What shape has four equal sides and angles?,Geometry,Square,difficult,"[""Square"", ""Rectangle"", ""Triangle"", ""Rhombus""]"
40,What do you call a triangle with all sides different?,Geometry,Scalene,difficult,"[""Scalene"", ""Isosceles"", ""Equilateral"", ""Right""]"
41,How many outcomes when rolling a 6-sided die?,Basic Statistics,6,easy,"[""6"", ""5"", ""12"", ""2""]"
42,"What is the median of 3, 1, 4?",Basic Statistics,3,easy,"[""3"", ""2"", ""4"", ""1""]"
43,Which average is most affected by outliers?,Basic Statistics,Mean,easy,"[""Mean"", ""Median"", ""Mode"", ""Range""]"
44,"If 10 students scored 80, what is the mean?",Basic Statistics,80,easy,"[""80"", ""8"", ""800"", ""10""]"
45,"If the mean of 5 numbers is 4, what is their total?",Basic Statistics,20,easy,"[""20"", ""25"", ""10"", ""15""]"
46,"What is the mean of 2, 4, 6, 8?",Basic Statistics,5,average,"[""5"", ""6"", ""4"", ""7""]"
47,What measure tells the middle value?,Basic Statistics,Median,average,"[""Median"", ""Mean"", ""Mode"", ""Range""]"
48,"What is the mode of 2, 3, 3, 4?",Basic Statistics,3,average,"[""2"", ""3"", ""4"", ""None""]"
49,What is the probability of flipping heads on a fair coin?,Basic Statistics,0.5,difficult,"[""0.5"", ""1"", ""0"", ""0.25""]"
50,"What is the range of 8, 3, 6?",Basic Statistics,5,difficult,"[""5"", ""6"", ""8"", ""3""]"
